3,2017,636,1,149,79,636,245
3,2018,616,7,147,99,616,225
3,2019,629,5,159,82,629,221
3,2020,597,5,139,82,597,209
3,2021,610,1,148,85,610,223
3,2022,619,1,167,86,619,210
14,2017,635,7,165,113,635,227
14,2018,614,6,155,105,614,206
14,2019,605,5,130,80,605,191
14,2020,594,4,145,92,594,193
14,2021,584,8,143,70,584,146
14,2022,608,13,143,71,608,173
17,2017,1217,23,278,177,1217,485
17,2018,1202,22,267,176,1202,471
17,2019,1206,13,279,209,1206,447
17,2020,1227,23,289,190,1227,485
17,2021,1154,18,278,151,1154,435
17,2022,1242,16,278,164,1242,462
21,2017,543,13,105,70,543,224
21,2018,528,9,114,74,528,224
21,2019,544,3,133,78,544,211
21,2020,521,7,134,92,521,205
21,2021,522,10,102,55,522,188
21,2022,549,9,134,61,549,209
29,2017,450,2,72,51,450,214
29,2018,419,2,86,62,419,200
29,2019,414,3,65,47,414,207
29,2020,397,1,64,43,397,189
29,2021,391,3,63,41,391,172
29,2022,389,3,69,50,389,166
50,2017,1406,11,326,259,1406,544
50,2018,1414,23,329,272,1414,531
50,2019,1453,11,322,257,1453,555
50,2020,1504,6,364,283,1504,577
50,2021,2093,2,345,249,2093,819
50,2022,1981,15,324,245,1981,754
53,2017,495,6,72,54,495,250
53,2018,463,2,61,44,463,248
53,2019,455,4,70,60,455,241
53,2020,446,6,68,51,446,232
53,2021,455,6,50,30,455,273
53,2022,471,14,70,37,471,219
62,2017,1510,4,371,310,1510,180
62,2018,1497,12,416,338,1497,192
62,2019,1391,6,340,282,1391,192
62,2020,1381,8,336,292,1381,169
62,2021,1382,9,349,268,1382,242
62,2022,1315,4,311,220,1315,217
70,2017,371,1,89,74,371,136
70,2018,370,2,109,94,370,170
70,2019,343,1,74,26,343,158
70,2020,383,1,90,57,383,196
70,2021,373,3,90,61,373,203
70,2022,368,3,79,51,368,178
79,2017,614,12,93,58,614,305
79,2018,586,6,104,72,586,260
79,2019,585,8,90,52,585,283
79,2020,596,5,98,0,596,258
79,2021,605,2,88,47,605,284
79,2022,597,6,87,58,597,316
107,2017,1601,29,241,181,1601,890
107,2018,1563,28,255,188,1563,880
107,2019,1381,35,237,156,1381,812
107,2020,1003,31,245,149,1003,550
107,2021,975,21,221,134,975,558
107,2022,1004,78,224,129,1004,660
144,2017,738,7,166,112,738,234
144,2018,720,4,195,146,720,257
144,2019,704,6,188,123,704,239
144,2020,686,2,158,111,686,237
144,2021,695,6,144,93,695,251
144,2022,755,7,185,99,755,260
156,2017,1380,7,326,283,1380,268
156,2018,1347,3,346,303,1347,267
156,2019,1330,4,325,287,1330,294
156,2020,1333,2,341,272,1333,293
156,2021,1303,2,323,274,1303,289
156,2022,1309,0,336,276,1309,306
170,2017,1132,19,276,202,1132,478
170,2018,1100,21,269,222,1100,507
170,2019,1068,19,258,187,1068,502
170,2020,1088,10,231,151,1088,560
170,2021,1107,8,272,153,1107,473
170,2022,1124,20,260,114,1124,459
196,2017,482,1,113,76,482,332
196,2018,471,0,114,70,471,311
196,2019,432,0,96,63,432,289
196,2020,437,0,110,65,437,294
196,2021,402,3,90,35,402,302
196,2022,405,6,86,47,405,220
254,2017,1769,4,428,406,1769,212
254,2018,1761,2,437,422,1761,246
254,2019,1766,2,452,412,1766,256
254,2020,1792,0,425,393,1792,247
254,2021,1801,5,410,388,1801,227
254,2022,1820,2,435,400,1820,207
309,2017,1339,26,347,294,1339,853
309,2018,1226,16,293,233,1226,762
309,2019,1186,23,300,235,1186,732
309,2020,1137,10,323,213,1137,746
309,2021,1125,14,269,73,1125,791
309,2022,1077,21,209,93,1077,725
315,2017,1505,4,355,318,1505,143
315,2018,1545,3,363,334,1545,134
315,2019,1543,0,411,362,1543,143
315,2020,1463,3,345,278,1463,68
315,2021,1428,1,383,327,1428,86
315,2022,1431,0,367,315,1431,109
409,2017,1452,20,296,0,1452,596
409,2018,1483,30,333,199,1483,644
409,2019,1494,21,356,104,1494,640
409,2020,1468,19,351,51,1468,537
409,2021,1430,18,363,247,1430,554
409,2022,1415,32,331,228,1415,589
412,2017,812,23,186,138,812,539
412,2018,737,30,148,114,737,565
412,2019,717,27,174,57,717,535
412,2020,700,24,150,17,700,474
412,2021,660,18,118,49,660,443
412,2022,638,51,110,52,638,443
416,2017,433,12,98,2,433,358
416,2018,435,18,81,56,435,364
416,2019,443,8,112,5,443,372
416,2020,361,12,90,55,361,279
416,2021,363,19,89,14,363,290
416,2022,335,23,63,36,335,280
435,2017,1221,3,320,240,1221,300
435,2018,1192,6,300,231,1192,300
435,2019,1194,9,291,221,1194,289
435,2020,1162,5,288,227,1162,254
435,2021,1161,4,287,197,1161,227
435,2022,1183,2,288,217,1183,231
448,2017,632,0,150,134,632,80
448,2018,644,0,151,128,644,87
448,2019,664,0,173,143,664,101
448,2020,629,0,141,120,629,114
448,2021,623,1,156,117,623,120
448,2022,604,2,169,135,604,103
460,2017,1429,6,349,262,1429,492
460,2018,1357,17,375,271,1357,449
460,2019,1322,9,311,225,1322,376
460,2020,1296,7,323,200,1296,444
460,2021,1246,13,284,205,1246,464
460,2022,1258,7,331,239,1258,468
467,2017,627,0,145,123,627,144
467,2018,626,3,171,167,626,142
467,2019,602,4,139,111,602,166
